Instance:,1,Customers:,50,Depots:,4
Executions:,1,Total Demand:,777.0,,,


Run,SSE,SSB,DunnIndex,SilhouetteCoefficient,CalinskiHarabaszIndex,XieBeniIndex,DaviesBouldinIndex,RayTuriIndex,BallHallIndex,Time
1,2186.05,1245.01,0.15,0.32,162.64,2.61,0.83,10.46,12.36,29.0

Min,2186.05,1245.01,0.15,0.32,162.64,2.61,0.83,10.46,12.36,29.0
Max,2186.05,1245.01,0.15,0.32,162.64,2.61,0.83,10.46,12.36,29.0
Avg,2186.05,1245.01,0.15,0.32,162.64,2.61,0.83,10.46,12.36,29.0
