Instance:,1,Customers:,50,Depots:,4
Executions:,1,Total Demand:,777.0,,,


Run,SSE,SSB,DunnIndex,SilhouetteCoefficient,CalinskiHarabaszIndex,XieBeniIndex,DaviesBouldinIndex,RayTuriIndex,BallHallIndex,Time
1,2479.31,1170.0,0.12,0.26,136.14,3.9,0.94,15.61,12.86,336.0

Min,2479.31,1170.0,0.12,0.26,136.14,3.9,0.94,15.61,12.86,336.0
Max,2479.31,1170.0,0.12,0.26,136.14,3.9,0.94,15.61,12.86,336.0
Avg,2479.31,1170.0,0.12,0.26,136.14,3.9,0.94,15.61,12.86,336.0
