Instance,PAM
p1,0.8389
p2,0.8389
p3,1.5016
p4,1.8574
p5,2.1657
p6,1.1579
p7,2.3081
p8,6.4105
p9,8.8088
p10,4.862
p11,4.6961
p12,0.5535
p15,1.2164
p18,1.8298
p21,3.0062
pr1,1.0797
pr2,4.9854
pr3,29.4326
pr4,4.3211
pr5,119.4618
pr6,34.785
pr7,1.1777
pr8,42.2663
pr9,27.2528
pr10,64.8007
