Instance,PAM
p1,0.0494
p2,0.0494
p3,0.0498
p4,0.0547
p5,0.0586
p6,0.0444
p7,0.0546
p8,0.065
p9,0.072
p10,0.0498
p11,0.0519
p12,0.033
p15,0.0344
p18,0.0341
p21,0.0349
pr1,0.0481
pr2,0.0745
pr3,0.1305
pr4,0.0558
pr5,0.2347
pr6,0.1015
pr7,0.042
pr8,0.155
pr9,0.0828
pr10,0.1817
