Instance,PAM
p1,127.0753
p2,127.0753
p3,134.7919
p4,1063.4137
p5,1131.051
p6,462.7429
p7,332.0338
p8,27022.2676
p9,14366.2366
p10,6437.5572
p11,4014.4727
p12,3336.7167
p15,3375.2596
p18,3384.9038
p21,3535.5963
pr1,484.0087
pr2,1476.8068
pr3,2681.389
pr4,3082.7127
pr5,5063.6992
pr6,5336.5991
pr7,375.2551
pr8,1331.1861
pr9,1463.1864
pr10,3531.0369
