Instance,PAM
p1,0.013
p2,0.013
p3,0.0131
p4,0.0168
p5,0.0154
p6,0.0177
p7,0.0138
p8,0.0137
p9,0.0104
p10,0.0149
p11,0.0157
p12,0.0252
p15,0.0218
p18,0.0208
p21,0.0193
pr1,0.0136
pr2,0.0096
pr3,0.0143
pr4,0.0117
pr5,0.0041
pr6,0.009
pr7,0.0168
pr8,0.01
pr9,0.0111
pr10,0.0067
