Instance,PAM
p1,61.5099
p2,61.5099
p3,61.4073
p4,57.25
p5,52.2246
p6,65.0709
p7,60.099
p8,421.5274
p9,516.2566
p10,622.5578
p11,576.2767
p12,602.8354
p15,805.2965
p18,1346.965
p21,1842.3518
pr1,270.2543
pr2,159.4211
pr3,312.9413
pr4,251.6607
pr5,80.3669
pr6,193.9802
pr7,375.9404
pr8,261.1318
pr9,346.0055
pr10,176.6652
