Instance,BestCyclicAssignment,Farthest_First,NearestByCustomer,RandomByElement,Simplified,ThreeCriteriaClustering,UPGMC
p1,37.5,3.1499,0.1,0.05,0.2,0.65,1.05
p2,0.05,2.2,0.0,0.05,0.05,0.1,0.55
p3,0.05,9.5,0.0,0.0,0.1,0.5,0.5
p4,0.05,2.75,0.0,0.0,0.05,0.45,0.8
p5,0.05,1.6,0.0,0.05,0.05,0.5,2.95
p6,0.05,6.2,0.05,0.0,0.05,0.55,2.6499
p7,0.0,5.95,0.0,0.0,0.05,0.45,0.6999
p8,0.05,21.55,0.05,0.0,0.1499,13.5,3.6499
p9,0.1,37.8999,0.05,0.0,0.1,13.6999,3.6499
p10,0.05,37.5499,0.1499,0.0,0.1,13.3,4.25
