Instance,SSE,BH
p5,1131.051,0.948
p6,462.7429,0.7437
p7,332.0338,0.7054
p8,27022.2676,2.985
p9,14366.2366,2.62
p10,6437.5572,1.9623
p11,4014.4727,1.7924
p12,3336.7167,1.8154
p15,3375.2596,1.8229
p18,3384.9038,1.8231
p21,3535.5963,1.8575
pr1,484.0087,1.2051
pr2,1476.8068,1.3966
pr3,2681.389,1.8198
pr4,3082.7127,1.5633
pr5,5063.6992,1.8794
pr6,5336.5991,1.7229
pr7,375.2551,0.9933
pr8,1331.1861,1.5185
pr9,1463.1864,1.2824
pr10,3531.0369,1.67
p1,2350.7206,12.2807
p2,2350.7206,12.2807
p3,2270.5307,10.9528
p4,21354.2994,18.9608
p5,22608.0525,19.1808
p6,9032.0174,14.3895
p7,5922.9663,13.8305
p8,507819.2825,57.7234
p9,204377.0943,44.8632
p10,126178.3286,40.8478
p11,71486.113,35.4617
p12,66000,36.2132
p15,66000,36.2132
p18,66000,36.2132
p21,66000,36.2132
pr1,8978.8337,22.3295
pr2,20921.0815,24.3722
pr3,37030.2322,27.6872
pr4,47794.4989,26.2283
pr5,57009.0828,25.7357
pr6,63150.8365,24.7274
pr7,8354.5402,21.0533
pr8,18752.5425,25.0149
pr9,22969.5492,21.6654
pr10,49014.9171,27.1097
p1,7476.6242,22.4684
p2,7505.5943,22.4234
p3,9639.97,23.2425
p4,35113.4274,24.7539
p5,35162.1337,24.7749
p6,23208.3225,24.6111
p7,17299.3534,24.5266
p8,793952.6574,75.0278
p9,527556.2057,74.8444
p10,393058.6258,74.5031
p11,313523.9801,74.3764
p12,184645.3337,62.8166
p15,301670.8728,81.7308
p18,498696.1417,103.7545
p21,694821.0786,123.3074
pr1,29760.833,45.2572
pr2,57262.7484,42.8312
pr3,132851.799,54.7527
pr4,137808.6055,48.5696
pr5,135655.6899,41.4331
pr6,205230.6156,48.2026
pr7,35257.6435,49.1
pr8,73363.9663,50.3128
pr9,116041.2342,51.8296
pr10,143375.0569,49.1705
p1,7459.6089,19.9683
p2,7164.6723,19.6734
p3,9475.0995,19.688
p4,30854.088,23.0755
p5,28665.4687,21.7221
p6,16729.8033,20.5796
p7,10873.2903,19.5701
p8,639498.6902,65.2447
p9,414206.1502,53.6416
p10,268198.5405,53.6922
p11,192828.8961,50.5181
p12,155650.8951,56.5852
p15,299819.4126,66.8656
p18,310945.0422,69.0839
p21,398735.8424,74.6176
pr1,18519.8442,36.0465
pr2,41138.5012,37.8796
pr3,86348.2863,42.1098
pr4,92326.6576,38.8623
pr5,106193.3231,37.842
pr6,133535.7702,38.869
pr7,25224.8289,36.7573
pr8,37259.3163,35.5675
pr9,62445.1959,34.5838
pr10,85878.9235,37.5492
p1,8246.1111,22.0808
p2,8246.1111,22.0808
p3,9299.5555,19.4317
p4,34362.5785,25.041
p5,29074.1421,21.9645
p6,16612.4926,20.789
p7,10022.463,18.7244
p8,535332.977,60.1145
p9,383218.5097,65.0767
p10,244253.1318,67.0063
p11,194161.1601,64.408
p12,168299.2327,58.9282
p15,294639.0538,67.9034
p18,261132.292,67.773
p21,364163.2798,72.6093
pr1,18704.8289,39.512
pr2,33885.4695,37.2902
pr3,98997.8646,52.3129
pr4,95612.1944,38.0599
pr5,116004.3269,38.04
pr6,103971.59,34.2233
pr7,22972.3104,34.12
pr8,35118.1603,29.1254
pr9,56115.428,34.1019
pr10,95096.4152,39.8292
p1,2350.7206,12.2807
p2,2350.7206,12.2807
p3,2270.5307,10.9528
p4,21354.2994,18.9608
p5,22608.0525,19.1808
p6,9032.0174,14.3895
p7,5889.1996,13.7595
p8,507819.2825,57.7234
p9,204377.0943,44.8632
p10,126178.3286,40.8478
p11,71399.3585,35.4359
p12,66000,36.2132
p15,66000,36.2132
p18,66000,36.2132
p21,66000,36.2132
pr1,8978.8337,22.3295
pr2,20602.7876,23.6605
pr3,37030.2322,27.6872
pr4,45058.224,25.8871
pr5,51417.4235,24.1986
pr6,58068.7442,23.9803
pr7,6719.7227,19.8339
pr8,18627.5621,24.2469
pr9,22542.4479,21.474
pr10,47909.9273,26.8808
p1,2350.7206,12.2807
p2,2350.7206,12.2807
p3,2270.5307,10.9528
p4,21354.2994,18.9608
