Instance,BestCyclicAssignment,BestNearest,CLARA,CoefficientPropagation,CyclicAssignment,Farthest_First,KMEANS,NearestByCustomer,NearestByDepot,PAM,Parallel,RandomByElement,RandomSequentialCyclic,SequentialCyclic,Simplified,Sweep,ThreeCriteriaClustering,UPGMC
pr6,21840.7417,111.7745,456.0333,163.0523,710.771,68.9263,84.5283,83.9686,108.446,695.7006,83.9686,226471.6821,2260.3297,1208.0934,68.5406,70.8218,65.1,202.5552
pr7,167.5337,29.2127,62.9871,38.9498,3644.9398,28.252,42.4651,28.8131,171.0818,23.5548,28.8131,1076569.582,266.3051,166.1189,21.348,21.6453,16.8088,28.9723
pr8,7639.798,70.1778,370.5964,220.9979,835.832,85.2387,57.9659,80.5532,103.443,845.3272,80.5532,50021.5655,1385.759,220.4052,69.3121,80.3936,43.5959,256.2565
pr9,483.2227,103.9025,474.5978,1240.6041,4037.4609,89.1405,110.5701,91.524,169.9205,545.0578,91.524,190845.8542,3853.4948,21158.9767,88.5951,88.7911,78.3787,278.1455
pr10,1432.8143,395.6679,4296.4815,666.7636,601.817,135.954,300.9296,165.9983,601.5738,1296.014,165.9983,354283.9096,11266.7053,6594.6494,167.7858,201.5551,369.3786,2846.1255
gj1,22.7661,23.5581,23.0485,317.6577,21.4413,20.9115,19.7498,23.5581,44.089,21.2355,23.5581,2127.1986,-,-,23.5581,23.5581,20.5193,23.6834
gj2,220.6172,25.2764,23.2654,28.581,2915.0299,17.0545,17.0372,25.2764,80.9491,19.3525,25.2764,14153.7646,-,-,25.2764,25.2764,20.0968,32.9034
gj3,40.6044,37.1627,42.2232,34.1896,59.5034,32.4007,32.788,37.1627,37.975,50.4807,37.1627,7179.372,-,-,37.1627,37.1627,32.4007,33.3124
gj4,1077.444,145.9646,71.3304,520.8802,581.5393,32.1865,104.0968,145.9646,228.2851,88.3215,145.9646,124207.7489,-,-,145.9646,145.9646,59.2013,162.8278
gj5,2431.3604,2636.8299,303.6832,1241.5698,4191.1547,71.0202,1337.7796,2636.8299,2108.1454,96.6824,2636.8299,265346.8881,-,-,2636.8299,2636.8299,283.8434,1254.1431
gj6,169.3385,39.9929,30.7674,49.9064,389.0806,25.3098,27.8246,39.9929,311.0984,31.1217,39.9929,18287.6866,-,-,39.9929,39.9929,25.4863,49.2649
gj7,49.5262,23.8917,41.5441,47.0191,79093.9733,20.9108,19.5057,23.8917,53.5142,22.4541,23.8917,19011.5798,-,-,23.8917,23.8917,23.5636,21.585
gj8,462.2514,228.5663,149.0461,103.2955,990.4598,44.4653,124.4437,228.5663,508.3114,69.7507,228.5663,279358.3035,-,-,228.5663,228.5663,56.2027,431.9471
gj9,24.9022,33.2133,25.761,23.8438,276.9458,17.5621,22.8492,33.2133,54.6093,17.9055,33.2133,6746.9717,-,-,33.2133,33.2133,20.7051,23.818
gj10,37.2614,27.4528,25.7738,37.6797,5761.7853,17.4962,21.3858,27.4528,50.6003,30.2134,27.4528,49278.5732,-,-,27.4528,27.4528,21.7987,42.2176
gj11,108.2994,93.9194,62.4658,335.0072,211.565,33.9651,47.8378,93.9194,175.2997,35.3804,93.9194,52449.1694,-,-,93.9194,93.9194,44.4923,55.732
