Instance:,1,Customers:,50,Depots:,4
Executions:,1,Total Demand:,777.0,,,


Run,SSE,SSB,DunnIndex,SilhouetteCoefficient,CalinskiHarabaszIndex,XieBeniIndex,DaviesBouldinIndex,RayTuriIndex,BallHallIndex,Time
1,4707.21,702.65,0.1,0.02,42.68,126.47,4.11,505.89,17.49,6.0

Min,4707.21,702.65,0.1,0.02,42.68,126.47,4.11,505.89,17.49,6.0
Max,4707.21,702.65,0.1,0.02,42.68,126.47,4.11,505.89,17.49,6.0
Avg,4707.21,702.65,0.1,0.02,42.68,126.47,4.11,505.89,17.49,6.0
