Instance,PAM
p1,6.5658
p2,6.5658
p3,12.0823
p4,6.5527
p5,5.5748
p6,11.323
p7,10.7014
p8,11.6983
p9,15.6432
p10,34.1827
p11,45.2572
p12,14.0568
p15,37.0511
p18,91.6604
p21,178.8703
pr1,6.7051
pr2,6.1488
pr3,14.3925
pr4,15.9731
pr5,5.6244
pr6,17.8539
pr7,16.0846
pr8,15.3458
pr9,38.5662
pr10,17.9459
