Instance,PAM
p1,0.6568
p2,0.6568
p3,0.5926
p4,0.9255
p5,0.948
p6,0.7437
p7,0.7054
p8,2.985
p9,2.62
p10,1.9623
p11,1.7924
p12,1.8154
p15,1.8229
p18,1.8231
p21,1.8575
pr1,1.2051
pr2,1.3966
pr3,1.8198
pr4,1.5633
pr5,1.8794
pr6,1.7229
pr7,0.9933
pr8,1.5185
pr9,1.2824
pr10,1.67
