Instance,PAM
p1,0.2097
p2,0.2097
p3,0.3003
p4,0.9287
p5,1.0828
p6,0.3859
p7,0.577
p8,3.2052
p9,2.9362
p10,1.2155
p11,0.9392
p12,0.2767
p15,0.3041
p18,0.3049
p21,0.334
pr1,0.2699
pr2,1.2463
pr3,7.3581
pr4,1.0802
pr5,29.8654
pr6,8.6962
pr7,0.1962
pr8,7.0443
pr9,4.5421
pr10,10.8001
