Instance:,1,Customers:,50,Depots:,4
Executions:,1,Total Demand:,777.0,,,


Run,SSE,SSB,DunnIndex,SilhouetteCoefficient,CalinskiHarabaszIndex,XieBeniIndex,DaviesBouldinIndex,RayTuriIndex,BallHallIndex,Time
1,2635.53,1315.03,0.16,0.27,124.44,4.81,0.89,19.24,12.58,9.0

Min,2635.53,1315.03,0.16,0.27,124.44,4.81,0.89,19.24,12.58,9.0
Max,2635.53,1315.03,0.16,0.27,124.44,4.81,0.89,19.24,12.58,9.0
Avg,2635.53,1315.03,0.16,0.27,124.44,4.81,0.89,19.24,12.58,9.0
