Instance:,1,Customers:,50,Depots:,4
Executions:,1,Total Demand:,777.0,,,


Run,SSE,SSB,DunnIndex,SilhouetteCoefficient,CalinskiHarabaszIndex,XieBeniIndex,DaviesBouldinIndex,RayTuriIndex,BallHallIndex,Time
1,2626.64,1458.38,0.1,0.28,125.07,3.04,0.82,12.19,11.82,21089.0

Min,2626.64,1458.38,0.1,0.28,125.07,3.04,0.82,12.19,11.82,21089.0
Max,2626.64,1458.38,0.1,0.28,125.07,3.04,0.82,12.19,11.82,21089.0
Avg,2626.64,1458.38,0.1,0.28,125.07,3.04,0.82,12.19,11.82,21089.0
