Instance:,1,Customers:,50,Depots:,4
Executions:,1,Total Demand:,777.0,,,


Run,SSE,SSB,DunnIndex,SilhouetteCoefficient,CalinskiHarabaszIndex,XieBeniIndex,DaviesBouldinIndex,RayTuriIndex,BallHallIndex,Time
1,3187.24,1025.68,0.09,0.21,92.28,5.07,1.05,20.3,13.97,5.0

Min,3187.24,1025.68,0.09,0.21,92.28,5.07,1.05,20.3,13.97,5.0
Max,3187.24,1025.68,0.09,0.21,92.28,5.07,1.05,20.3,13.97,5.0
Avg,3187.24,1025.68,0.09,0.21,92.28,5.07,1.05,20.3,13.97,5.0
