Instance:,1,Customers:,50,Depots:,4
Executions:,1,Total Demand:,777.0,,,


Run,SSE,SSB,DunnIndex,SilhouetteCoefficient,CalinskiHarabaszIndex,XieBeniIndex,DaviesBouldinIndex,RayTuriIndex,BallHallIndex,Time
1,2350.72,1270.57,0.14,0.3,146.95,2.72,0.83,10.89,12.28,6.0

Min,2350.72,1270.57,0.14,0.3,146.95,2.72,0.83,10.89,12.28,6.0
Max,2350.72,1270.57,0.14,0.3,146.95,2.72,0.83,10.89,12.28,6.0
Avg,2350.72,1270.57,0.14,0.3,146.95,2.72,0.83,10.89,12.28,6.0
